ENSG00001	LOC_Os10g21300
ENSG00002	LOC_Os10g21268
ENSG00003	LOC_Os10g21266
ENSG00004	LOC_Os10g21230
ENSG00005	LOC_Os10g21236
ENSG00006	LOC_Os04g16820
ENSG00007	LOC_Os04g16882
ENSG00008	LOC_Os08g21700
ENSG00009	LOC_Os08g21760
ENSG000010	LOC_Os08g21840
ENSG000011	LOC_Os08g21879
ENSG000012	LOC_Os04g16712
ENSG000013	LOC_Os12g28177
ENSG000014	LOC_Os08g11490
ENSG000015	LOC_Os08g11480
ENSG000016	LOC_Os08g11450
ENSG000017	LOC_Os08g11220
ENSG000018	LOC_Os06g50650
ENSG000019	LOC_Os06g50590
ENSG000020	LOC_Os06g50530
ENSG000021	LOC_Os06g50520
ENSG000022	LOC_Os06g50510
ENSG000023	LOC_Os06g50679
ENSG000024	LOC_Os11g01040
ENSG000025	LOC_Os11g01020
ENSG000026	LOC_Os11g01010
ENSG000027	LOC_Os12g34096
ENSG000028	LOC_Os12g34054
ENSG000029	LOC_Os08g11760
ENSG000030	LOC_Os07g03458
ENSG000031	LOC_Os04g25800
ENSG000032	LOC_Os01g01010
ENSG000033	LOC_Os01g01019
ENSG000034	LOC_Os01g01030
ENSG000035	LOC_Os01g01040
ENSG000036	LOC_Os01g01050
ENSG000037	LOC_Os01g01060
ENSG000038	LOC_Os01g01070
ENSG000039	LOC_Os01g01080
ENSG000040	LOC_Os01g01120
ENSG000041	LOC_Os01g01130
ENSG000042	LOC_Os01g01150
ENSG000043	LOC_Os01g01160
ENSG000044	LOC_Os01g01170
ENSG000045	LOC_Os01g01180
ENSG000046	LOC_Os01g01190
ENSG000047	LOC_Os01g01280
ENSG000048	LOC_Os01g01290
ENSG000049	LOC_Os01g01295
ENSG000050	LOC_Os01g01302
ENSG000051	LOC_Os01g01307
ENSG000052	LOC_Os01g01340
ENSG000053	LOC_Os01g01350
ENSG000054	LOC_Os01g01360
ENSG000055	LOC_Os01g01369
ENSG000056	LOC_Os01g01380
ENSG000057	LOC_Os01g01390
ENSG000058	LOC_Os01g01410
ENSG000059	LOC_Os01g01420
ENSG000060	LOC_Os01g01450
ENSG000061	LOC_Os01g01484
ENSG000062	LOC_Os01g01510
ENSG000063	LOC_Os01g01520
ENSG000064	LOC_Os01g01580
ENSG000065	LOC_Os01g01610
ENSG000066	LOC_Os01g01620
ENSG000067	LOC_Os01g01640
ENSG000068	LOC_Os01g01650
ENSG000069	LOC_Os01g01660
ENSG000070	LOC_Os01g01670
ENSG000071	LOC_Os01g01689
ENSG000072	LOC_Os01g01700
ENSG000073	LOC_Os01g01710
ENSG000074	LOC_Os01g01720
ENSG000075	LOC_Os01g01740
ENSG000076	LOC_Os01g01760
ENSG000077	LOC_Os01g01780
ENSG000078	LOC_Os01g01790
ENSG000079	LOC_Os01g01800
ENSG000080	LOC_Os01g01830
ENSG000081	LOC_Os01g01870
ENSG000082	LOC_Os01g01880
ENSG000083	LOC_Os01g01890
ENSG000084	LOC_Os01g01920
ENSG000085	LOC_Os01g01950
ENSG000086	LOC_Os01g01960
ENSG000087	LOC_Os01g01970
ENSG000088	LOC_Os01g01980
ENSG000089	LOC_Os01g02010
ENSG000090	LOC_Os01g02020
ENSG000091	LOC_Os01g02080
ENSG000092	LOC_Os01g02090
ENSG000093	LOC_Os01g02110
ENSG000094	LOC_Os01g02130
ENSG000095	LOC_Os01g02139
ENSG000096	LOC_Os01g02150
ENSG000097	LOC_Os01g02160
ENSG000098	LOC_Os01g02170
ENSG000099	LOC_Os01g02180
ENSG0000100	LOC_Os01g02190
ENSG0000101	LOC_Os01g02200
ENSG0000102	LOC_Os01g02250
ENSG0000103	LOC_Os01g02270
ENSG0000104	LOC_Os01g02290
ENSG0000105	LOC_Os01g02300
ENSG0000106	LOC_Os01g02320
ENSG0000107	LOC_Os01g02334
ENSG0000108	LOC_Os01g02350
ENSG0000109	LOC_Os01g02360
ENSG0000110	LOC_Os01g02390
ENSG0000111	LOC_Os01g02400
ENSG0000112	LOC_Os01g02420
ENSG0000113	LOC_Os01g02430
ENSG0000114	LOC_Os01g02440
ENSG0000115	LOC_Os01g02470
ENSG0000116	LOC_Os01g02590
ENSG0000117	LOC_Os01g02720
ENSG0000118	LOC_Os01g02730
ENSG0000119	LOC_Os01g02870
ENSG0000120	LOC_Os01g02880
ENSG0000121	LOC_Os01g02890
ENSG0000122	LOC_Os01g02900
ENSG0000123	LOC_Os01g02910
ENSG0000124	LOC_Os01g02920
ENSG0000125	LOC_Os01g02930
